URL,Company,Job,Salary,Location,Views,Responses,Category,Employment,Experience,English,Domain,Description
https://djinni.co/jobs/590243-project-manager-business-analyst,Perspective,Project Manager / Business Analyst,,Україна (Київ),11,2,Project Manager,Тільки офіс,2,Англійська: Upper-Intermediate,Домен: E-commerce / Marketplace,"Perspective Studio is the Magento development team. We are growing and in search of a new motivated and purposeful Project Manager / Business Analyst who will join our Best Magento Team.Responsibilities:— communication with stakeholders to identify the business needs;— writing technical documentation for the project;— advice, recommendations, and suggestions for improving the customer concept;— coordination of the budget with the client and its control;— sprint planning, maintaining a backlog of project tasks;— setting tasks for the development team, monitoring the compliance of the developed functionality concerning the technical specifications and customer requirements;— people management of the development team;— management of risks;— participation in the delivery of the product to production environment.Required skills:— 2 years of experience in PM or BA in web development;— understanding the website development process/staging;— understanding of applied technologies (web);— Upper-Intermediate or higher English level.Will be an advantage:— experience in similar positions in similar companies.Requirements for personal qualities:— the ability to keep your work organized;— punctuality and responsibility;— teamwork skills and initiative;— attention to detail;— analytical mindset and agility.Briefly about our company:— we specialize in an integrated approach to the web development;— e-commerce is a key area;— more than 60 employees;— founded in 2009;— our clients are 70% Western companies in Europe and the United States and 30% Ukrainian companies.We offer:— career growth opportunity (growth from Junior to Senior — salary as a result);— work from the office in Kyiv;— the opportunity to learn from Senior PM, in the future to become a Business Analyst (possible rotation);— you will be able to manage projects independently, act as a Product Manager, make decisions on the project;— work with very complex tasks, invaluable technical skills;— we have well-established and described processes in the company;— joint attendance at conferences, corporate events, and payment for Magento certification;— paid holidays, sick leaves, cookies, etc."
https://djinni.co/jobs/606320-senior-seo-specialist-e-commerce-us-long-term,WiserBrand,"Senior SEO Specialist (e-Commerce US, long-term)",,Україна (Харків),1,,SEO,Office або Remote,5,Англійська: Intermediate,Домен: E-commerce / Marketplace,"We’re looking for an experienced SEO Specialist to join our team.About the project:Our client is an online top-tier jewelry company in New York with a showroom in the heart of the Diamond Jewelry district. The company manufactures and wholesales high-end luxury diamond jewelry and diamond watches. Our client can create personalized and one-of-a-kind gold and diamond custom-made jewelry tailored to the exact requirements.Requirements:• 5+ years experience in SEO• The last 2+ years (between 2021 and 2023) of experience in e-Сommerce (US/EU market)• 1+ year of consistent experience with high-load projects (300k+ traffic per month)• Strong skills in On-Page & Off-Page optimization• Understanding of search engine algorithms and ranking factors• Knowledge of optimization methods and ability to find growth points for the project• High level of knowledge of SEO tools: Serpstat, Ahrefs, Screaming Frog, SimilarWeb, SEMrush, Majestic, or similar.• Deep understanding of how to work and analyze websites with Google Analytics, Google Search Console, Chrome DevTools, PageSpeed Insights, Schema Markup Validator, and others. • In-depth knowledge of MS Excel / Google Sheets• Ability to present results and create SEO-related dashboards for website health-check monitoring purposes in Looker Studio (ex Google Data Studio) or a similar tool• English — Intermediate and higher Will be a plus:• Experience with GA4, Google Tag Manager, and other tools• Experience in doing SEO in highly competitive nichesResponsibilities:• On-page and off-page optimization• Develop and execute effective SEO strategies to drive quality organic traffic and improve search rankings • Conduct regular website audits to identify technical issues and ensure site health and usability• Constant work on improvement and analysis of semantic core, positions, and growth opportunities• Analysis of competitors and their SEO practices• Stay up-to-date with search engine algorithm changes, and SEO best practices to drive continuous improvement in SEO strategiesWe offer:• A full-time job and a long-term contract• Flexible working hours with compensated overtime• Official employment, managing your taxes and accounting• Career and professional growth opportunities• Paid vacation and sick leave• Optional benefits package that includes Health insurance, Gym membership, English courses, compensation of certification, courses, and training• Creative and lively team of IT specialists, adequate management, and zero unnecessary bureaucracy"
https://djinni.co/jobs/550664-account-manager-adtech-,SmartyAds,Account Manager (adtech),,Україна,6,1,Support,Office або Remote,1,Англійська: Advanced/Fluent,Домен: Advertising / Marketing,"SmartyAds is a passionate and ambitious team of professionals who redefine the standards of advertising and monetization worldwide by building robust and efficiency-driven programmatic platforms. We started back in 2011 and since then we grew until we found ourselves as an award-winning international company with our own tech infrastructure, 150+ team members onboard, and products highly praised by international experts (awards: The Drum DADI, Stewie, MartechBreakthrough, SIA, and more).How does it all become possible? We focus on our people — we welcome big ideas, provide you with the freedom to grow, and offer support on every stage of your professional development with us. Join an environment where everyone feels connected, supported, and heard so you can do your best work and progress fast professionally like dozens of our account managers, sales, ad ops, and developers already did.Requirements:- Customer support experience;- Experience within adtech;- Fluent English (both written and spoken);- Analytical skills.Our ideal candidate has:- Problem-solving skills and ability to offer tailored solutions to specific challenges of each client;- Proven ability and desire to interface with clients both remotely and face to face to provide timely, consistent and accurate support and account management;- Possess a technical aptitude and a desire to learn the intricacies of the digital advertising eco- system and to leverage that knowledge to help clients with support issues;- Analytical ability to monitor and identify trends in performance metrics and data.Responsibilities:- Communicate with the clients (B2B) within different communication channels (slack, skype, email, calls, etc) and support them while they’re using our product;- Analyze and optimize clients’ performance and profitability on our technology;- Closely work and set tasks for a development team;- Create and update documentation for our Knowledge base;- The account manager must monitor financial duties of the client;- Work on the product improvements.We offer:- Flexible work setup: Choose between fully remote, hybrid, or office-based in Kyiv, Odesa, or Mykolaiv with refreshments/snacks and dedicated spaces for relaxation and leisure activities.- Professional growth: Join a strong team, access courses and conferences, and utilize our electronic library for continuous learning.- Performance-based annual salary reviews: Fair and competitive compensation tied to your work performance.- Work-life balance: Enjoy 22 paid vacation days per year.- Well-being support: Comprehensive medical insurance, paid sick leaves, and access to a corporate psychologist.- Vibrant corporate culture: Offsite parties, celebrations, team-building activities, sporting events, and corporate gifts/bonuses."
https://djinni.co/jobs/606319-php-symfony-developer,Paymentop,PHP (Symfony) Developer,,Україна,6,1,PHP,Тільки віддалено,3,Англійська: Pre-Intermediate,Домен: Fintech,"Paymentop – is a leader in development and integration of PCI DSS L1 high-loaded fintech platforms. We are a company that provides an own developed technical solution - advanced virtual banking, e-wallet, marketplaces.Key tasks and role:- Design from scratch, develop, test, make documentation, support software- Support and review/refinement of the existing API and backend- Develop software that implements the solution of the problem, based on the analysis of mathematical models and algorithms (statements of economic and other problems)- Integrate external solutions (acquirer, gateway, alternative payment methods, token platforms, systems for verification/scoring/monitoring of customer operations, reporting, etc.)- Develop unified packages according to documentation and requirements, make integration of such packages into existing products, provide maintenance and extension- Solve performance problems of highly loaded systems- Develop payment system and additional servicesFix existing bugs- Get help and architectural decision from lead- Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement- Collaborate with the front-end developers and other team members to deliver tasks- Develop and improve the product in a secure, well-tested, and performant way- Conduct debugging of the developed software, timely correct errors found during debugging/testing- Provide test coverage (unit, integration, acceptance tests)- Prepare and set up a test environment to be able to test the functionality- Perform work in preparing the developed software for release and producing its release- Prepare necessary technical documentation- Provide support for the implemented software in production- Perform and optimizate problems, particularly at large scale, and a demonstrated ability to diagnose and prevent these problems- Know and improve internal standards for style, maintainability, and best practices for a high-scale back developmentRequirements & Skills:- Understand of the web development cycleStrong PHP, Symfony- Deep understanding of OOP- Understand Design patterns and algorithms, SOLID, DRY, KISS- Understand DDD, SOA, CQRS, Hexagonal architecture- Deep knowledge of PostgreSQL (indexes, partitioning, JSON types, transactions, concurrency)- AWS (RDS, S3, SQS)- Docker, Kubernetes, Gitlab CI/CD- Nginx- Full SDLC cycle- UML- Linux (as working OS)- Shell- Jenkins- Git- Agile Development Methodology and its SCRUM and KANBAN frameworks- Intermediate+ level of English- Experience in fintech domain or highload system"
https://djinni.co/jobs/569647-operations-analyst,SmartyAds,Operations Analyst,,Україна (Київ),6,1,Business Analyst,Гібридна робота,,Англійська: Upper-Intermediate,Домен: Advertising / Marketing,"SmartyAds is a passionate and ambitious team of professionals who redefine the standards of advertising and monetization worldwide by building robust and efficiency-driven programmatic platforms. We started back in 2011 and since then we grew until we found ourselves as an award-winning international company with our own tech infrastructure, 150+ team members onboard, and products highly praised by international experts (awards: The Drum DADI, Stewie, MartechBreakthrough, SIA, and more).How does it all become possible? We focus on our people — we welcome big ideas, provide you with the freedom to grow, and offer support on every stage of your professional development with us. Join an environment where everyone feels connected, supported, and heard so you can do your best work and progress fast professionally like dozens of our account managers, sales, ad ops, and developers already did.At SmartyAds we are seeking an enthusiastic and dedicated individual to join us as an Operations Analyst. This position offers an opportunity for growth and development within various operational tasks, with the potential for increased responsibilities over time. The successful candidate will be engaged in a wide range of activities, including business policies development, back-office work optimization, R&D projects, systematization, and more.Responsibilities:- Collaborate with the Operations team to develop and improve business policies and optimize back-office work processes, including financial, legal, and HR tasks.- Contribute to the development of R&D projects by conducting research, analyzing market trends, and assisting with negotiations with suppliers and customers.- Support the integration of new software tools to enhance departmental workflow efficiency.- Identify and create processes to get work done, to operate with a first-principles approach, and to optimize efficient workflows.- Collaborate with cross-functional teams to identify areas for improvement and implement effective solutions.Requirements:- Excellent academic achievements or relevant work experience (up to a year).- Educational background in technical, management, or economic fields.- Proficiency in Google Workspace tools, including Google Sheets, Slides, and Docs.- Upper-intermediate level of English proficiency.- Strong task management and prioritization skills.- Demonstrated ability in a structured problem-solving.- Highly organized and attentive to details.- Demonstrated willingness to learn and grow within the organization.- Experience in case championships or similar competitions is a plus.If you are an ambitious individual with a passion for operations and a desire to contribute to a dynamic and innovative team, we encourage you to apply. This is a unique opportunity to gain hands-on experience and develop valuable skills in a fast-paced environment.Please submit your resume, along with a cover letter where you can express your interest in our position and describe your experience.Benefits:- Flexible work setup: Choose between fully remote, hybrid, or office-based in Kyiv, Odesa, or Mykolaiv with refreshments/snacks and dedicated spaces for relaxation and leisure activities.- Professional growth: Join a strong team, access courses and conferences, and utilize our electronic library for continuous learning.- Performance-based annual salary reviews: Fair and competitive compensation tied to your work performance.- Work-life balance: Enjoy 22 paid vacation days per year.- Well-being support: Comprehensive medical insurance, paid sick leaves, and access to a corporate psychologist.- Vibrant corporate culture: Offsite parties, celebrations, team-building activities, sporting events, and corporate gifts/bonuses."
https://djinni.co/jobs/606316-devops-engineer,Triangu,DevOps Engineer,,Україна (Київ),18,6,DevOps,Office або Remote,2,Англійська: Intermediate,Домен: Telecom / Communications,"Необхідні скіли:— AWS(EC2, EBS, EFS, autoscaling groups, vpc, eks, cloud watch, LB).— Kubernetes - розуміти архітектуру. Вітається досвід в проді. — Ansible, Bash, TerraformЄ задачі по тераформу, базові знання. буде плюсом, якщо є досвідGrafana, Prometheus, alert manager, Zabbix.— Gitlab, gitlab runners, gitlab ci/cd— Nginx, Haproxy.— Хороші комунікативні навички.Що треба буде робити:— Налаштування моніторингу та логування сервісів та інфраструктури;— Автоматизація процесів розробки та рутинних завдань;— Автоматизація робочих процесів аудиту безпеки;— Поліпшення інфраструктури;— Розробка інфраструктури управління конфігурацією (Ansible);— Моніторинг, підтримка та оптимізація систем;— Виконання аналізу причин для переривання обслуговування та створення превентивних заходів для розгортання.Ми пропонуємо:— Сертифікації, курси, тренінги.— Довготривалі проекти;— Можливості кар’єрного зростання;— Можливість працювати ремоут, або в офісі.— Обладнаний ""пункт Незламності""."
https://djinni.co/jobs/606318-storage-inzhener,Object First,Storage інженер,1200-2000,Україна (Київ),12,1,Sysadmin,Тільки віддалено,3,,Домен: Security,"Обов’язки:Виконання різноманітних видів ручного тестування, включаючи функціональне, регресійне, системне, тестування продуктивності (функціональне, навантажувальне і стрес-тестування);Аналіз результатів з урахуванням пошуку проблем/помилок, а також безпосередня участь в розробці і розвитку продукту;Створення і ведення тестової документації (тест-план, чек-лист і звіти по них);Постановка завдань на реалізацію автоматичних тестів, контроль їх виконання і локалізація причин їх падіння.Вимоги:Обов’язковий досвід роботи від 1 року у створенні і адмініструванні відмовостійкого VMware vSphere ClusterДосвід адміністрування мережевих сховищ (SAN/NAS)Впевнений користувач Linux (бажано Ubuntu)Знання mdadm, zfs на рівні адмініструванняЗнання клієнт-серверної архітектури (фронтенд WebUI та бекенд)Вміння виявляти і локалізувати помилки при роботі з ПЗВміти читати і розуміти технічну документацію англійською мовою.Буде доречним:Досвід роботи з протоколами iSCSI, NVMe-oFДосвід роботи з бекапними рішеннями Veeam Backup & ReplicationДосвід роботи з Python, PyTestНавички роботи з MS Hyper-V, KVMМи пропонуємо:Гідну винагородуМедичне страхуванняВіддалену роботуДружній колективНадання комп'ютерної техніки для виконання роботиНаша вакансія – це чудова можливість професійної реалізації з хорошою перспективою кар’єрного зростання. Цікаво, правда? Надсилай резюме вже зараз!"
https://djinni.co/jobs/597673-finance-analyst,First.ua,Finance Analyst,2000-3000,Україна (Київ),7,,Other,Тільки офіс,2,,Домен: Gambling,"Шукаємо:-Має 2+ роки досвіду на позиції Finance Analyst-MySQL, GoogleSheets, MS Ecxel -Досвід або розуміння  роботи в сфері гемблінгу Чим буде займатися:- Розробка фінансової звітності групи компаній по різним гео;- PnL; Cash-Flow; Balance; Бюджетування;- Автоматизація фінансової звітності через ведення Google таблиць і Excel;- Робота з базами даними MySQL.Умови:-Фултайм офіс-Зручне розташування офісу в центрі-Висока ринкова фінансова компенсація-Флексебільний графік-Молодий і драйвовий колектив"
https://djinni.co/jobs/606313-application-support-engineer-night-shifts-,ITExpert,Application Support Engineer (Night shifts),,Україна,9,1,Support,Тільки віддалено,3,Англійська: Intermediate,Домен: Fintech,"Продуктова Fintech компанія у пошуку Application Support Engineer (Linux) на нічні зміни(з 11 вечора до 8 ранку GMT+2) для роботи віддалено.Це найшвидший ‘end-to-end’ постачальник даних і торгових технологій на валютних, фінансових і ф'ючерсних ринках.Компанія створила продукт, завдяки якому міжнародні компанії та банки мають можливість проводити миттєві операції на світових валютних біржах з мінімальною затримкою в часі, використовуючи low-latency шлюз компанії.Це рішення є перевагою для них, щоб випередити конкурентів на частки мілісекунди.Необхідний: досвід з Linux (робота з командним рядком, логами).Буде плюсом: розуміння моніторингу мережевого трафіку, в ідеалі з Fx протоколом."
https://djinni.co/jobs/598678-junior-middle-data-analyst,BetterMe,Junior/Middle Data Analyst,,Україна (Київ),20,3,Data Analyst,Office або Remote,1,,Домен: Healthcare / MedTech,"ABOUT US:BetterMe is a health & wellness platform providing a tailored holistic approach to well-being. Since 2017, we have been on a mission to create a healthier world for everyone, regardless of age, sex, physical ability, or background.Our goal is to make healthy lifestyle accessible to everyone so they can achieve long-term health benefits.Your impact:- Primarily work with Marketing team and help to make correct data-informed decisions;- Evolve data analytics processes and architecture;- Develop standardized dashboards and ad hoc reports to provide actionable insights for stakeholders;- Participate in improving the internal business intelligence system that consolidates financial data (we call it BetterBI).About You:- At least one year of experience in a product company working with data analytics;- Develop and support the direction of marketing automation;- Analytical mindset; ability to structure information and dive deeper when it is needed;- Experience with data visualization tools, BI techniques (Tableau);- Full proficiency in SQL and Excel;- Programming experience in Python is a must;- Strong English written/verbal communication skills.Will be a plus:- Experience with 3rd party product analytics systems (e.g. Amplitude, Firebase, AppsFlyer);- Experience with A/B testing.Our company is built on the ability to find the best people and provide them with everything needed to stay focused on what’s important to make our users even healthier, sportier, happier and better! We create a business environment that brings up best in everyone. We have no bureaucracy, and we give our colleagues complete freedom to make decisions and achieve brilliant results.🚀Competitive salary. Compensation that will help you focus on your projects and personal development.Professional Growth. We offer a possibility to attend internal, external courses, seminars and access to a corporate library. You will be working with a team of professionals to get insights and discuss ideas.Comfortable working environment.  BetterMe team is located in a spacious office in the Astarta business center within 10 minutes walk from Kontraktova metro station. We serve complimentary breakfasts, lunches, snacks, fruits and all necessary equipment for your role.Health&Fitness. We provide employees with 20 days of paid vacation, medical insurance and a variety of sports activities available for employees inside and outside the office.Rest. We organize team buildings, parties and various team activities to boost our collaboration."
